,zipcode,city,latitude,longitude
324,19063,"Schwerin, Mecklenburg Zippendorf",53.60716,11.46771
325,39175,Körbelitz,52.18064,11.78211
326,24999,Wees,54.807239,9.522599
327,17392,Boldekow,53.72593,13.59457
328,78112,Sankt Georgen im Schwarzwald Schoren (Schwarzwald),48.1238199,8.3923531
329,36318,"Schwalmtal, Hessen",50.6833,9.3
330,54317,Osburg,49.7167,6.78333
331,17255,"Wesenberg, Mecklenburg Strasen",53.20742,12.99518
332,54570,Oberstadtfeld,50.1833,6.76667
333,54675,Geichlingen,49.95,6.26667
334,16792,Zehdenick Zabelsdorf,53.04847,13.2517800000001
335,8396,Oberwiera,50.8833,12.5
336,19300,Muchow,53.31371,11.68864
337,18573,Rambin Drammendorf,54.3557,13.21985
338,94530,"Auerbach, Niederbayern",48.8,13.1
339,57648,Bölsberg,50.6667,7.91667
340,47669,Wachtendonk,51.40786,6.33968000000004
341,25724,Neufelderkoog,53.906748117309,8.96890994005474
342,60326,Frankfurt am Main Griesheim,50.1,8.6
343,65933,Frankfurt am Main Griesheim,50.1,8.6
344,24340,Windeby,54.462724215,9.81717886329
345,9569,Oederan,50.8667,13.1667
346,29416,Mechau,52.87071,11.34863
347,54657,Badem,50.0,6.61667
348,18586,Lancken-Granitz Gobbin,54.34545,13.6218200000001
349,36452,Kaltennordheim,50.6333,10.1667
350,83324,Ruhpolding,47.7667,12.65
351,18249,Bernitt Neu Bernitt,53.89964,11.85223
352,4849,Bad Düben,51.594443525229,12.5893004074096
353,82487,Oberammergau,47.6,11.0667
354,21775,Odisheim,53.69439,8.94117
355,25776,"Sankt Annen, Dithmarschen",54.3500100864308,9.08330614671705
356,24814,"Sehestedt, Eider",54.36678,9.81944
357,15537,Grünheide (Mark),52.4111,13.8889
358,15518,Grünheide (Mark),52.4111,13.8889
359,15528,Grünheide (Mark),52.4111,13.8889
360,93152,Nittendorf,49.0253,11.9611
361,67308,Rüssingen,49.6158,8.08833
362,19209,Perlin,53.58724,11.17512
363,39638,Kassieck,52.58666,11.48508
364,55776,Ruschberg,49.6167,7.28333
365,38368,Querenhorst,52.33671,10.9622400000001
366,18196,Prisannewitz,53.98537,12.22068
367,39649,Miesterhorst,52.46076,11.14103
368,73079,Süßen,48.6833,9.76667
369,23824,Tensfeld,54.0412210764855,10.3180888886929
370,9405,Gornau / Erzgebirge,50.7667,13.0167
371,91088,Bubenreuth,49.6333,11.0167
372,16845,Sieversdorf-Hohenofen,52.82585,12.40418
373,6712,Würchwitz,51.0167,12.2333
374,63825,Westerngrund,50.1,9.25
375,18273,Güstrow Güstrow,53.80412,12.18655
376,12435,Berlin Treptow-Köpenick,52.445817,13.574588
377,12437,Berlin Treptow-Köpenick,52.445817,13.574588
378,12487,Berlin Treptow-Köpenick,52.445817,13.574588
379,12439,Berlin Treptow-Köpenick,52.445817,13.574588
380,12524,Berlin Treptow-Köpenick,52.445817,13.574588
